OBJECTID,PARK_NUMBER,PARK_NAME,SAP_EQUIPMENT,SAP_FUNCTIONAL_LOCATION,ITEM_TYPE,ITEM_DESCRIPTION,X,Y
1,D0228,7TH BRIGADE PARK,200486256,B-RE-2004-N032,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.034660641,-27.376471814
2,D0821,MATTHEW GARDINER PARK,200477660,B-RE-2443-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.020318907,-27.3506863489999
3,D0387,KOALA PARK,200507549,B-RE-1455-N002,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,153.028417135,-27.530470205
4,D1413,QUEENSLAND MARITIME MUSEUM PARK,200554498,B-RE-2338-N003,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,153.025364446,-27.48187145
5,D1689,WEBSTER ROAD PARK,200561136,B-RE-0444-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.019069392,-27.3946098669999
6,D0095,NEW FARM PARK,200560685,B-RE-1736-N002,BUBBLER/DRINKING FOUNTAIN,BOWL FOUNTAIN TW001,153.052485585,-27.468671075
7,D0338,JINDALEE BOAT RAMP PARK,200560936,B-RE-1920-N007,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN & DOG BOWL,152.929400825,-27.5290708869999
8,D0338,JINDALEE BOAT RAMP PARK,200560937,B-RE-1920-N004,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER APOLLO 800,152.928656791,-27.5299320089999
9,D0292,EINBUNPIN LAGOON PARK,200561018,B-RE-1943-N002,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN APOLLO 800,153.068619265,-27.3198734279999
10,D0082,ANZAC SQUARE,100277383,B-RE-1830-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.026652629,-27.466195784
11,D0680,KANGAROO POINT CLIFFS PARK,200471275,B-RE-1557-N004,BUBBLER/DRINKING FOUNTAIN,ONE BUBBLER,153.03423853,-27.4776556969999
12,D0863,BREENE COURT PARK,200477861,B-RE-2496-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.11203592,-27.5108424709999
13,D3055,LANCEWOOD PLACE PARK,200569871,B-RE-1128-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.868133779,-27.566940034
14,D0647,MT COOT-THA BOTANIC GARDEN,200471033,B-RE-1597-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.976043032,-27.477216648
15,D0647,MT COOT-THA BOTANIC GARDEN,200471034,B-RE-1597-N026,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.976582645,-27.476009674
16,D0228,7TH BRIGADE PARK,200478622,B-RE-2004-N036,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.045589105,-27.378742119
17,D1862,CENTRAL STREET PARK,200481324,B-RE-0549-N002,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN & 2 TAPS,152.960836551,-27.631597605
18,D2086,DALKEITH PARK,100276177,B-RE-2705-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.042625633,-27.4134642409999
19,D2208,BACTON ROAD PARK,100289769,B-RE-2779-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.155003725,-27.517147096
